Remove Stop Words,Stemming,Weighting Scheme,Precision,Recall,F-Measure,MAP,DCG
True,True,lnc-itc,0.15,0.0625,0.08823529411764706,0.025882352941176474,0.8981592733384774
True,True,lnc-itc,0.55,0.08208955223880597,0.14285714285714285,0.36741870874223814,4.133994454169488
True,True,lnc-itc,0.15,0.04918032786885246,0.07407407407407407,0.07428571428571427,1.5833333333333333
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.3,0.15789473684210525,0.20689655172413793,0.1035164835164835,1.9172510184618279
True,True,lnc-itc,0.2,0.09302325581395349,0.12698412698412698,0.12916666666666665,1.9178134987528728
True,True,lnc-itc,0.0,0,0,0,0
True,True,lnc-itc,0.05,0.025,0.03333333333333333,0.004166666666666667,0.27023815442731974
True,True,lnc-itc,0.0,0,0,0,0
True,True,lnc-itc,0.1,0.1111111111111111,0.10526315789473685,0.009027777777777779,0.472320790815179
True,True,lnc-itc,0.0,0,0,0,0
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.1,0.04,0.05714285714285714,0.017763157894736842,0.6620547712331522
True,True,lnc-itc,0.05,0.07692307692307693,0.060606060606060615,0.009615384615384616,0.31546487678572877
True,True,lnc-itc,0.15,0.01935483870967742,0.03428571428571429,0.026590909090909092,0.8934660015826245
True,True,lnc-itc,0.15,0.03896103896103896,0.061855670103092786,0.01570433436532508,0.6988609284248436
True,True,lnc-itc,0.15,0.02586206896551724,0.04411764705882353,0.0181328320802005,0.7373362379695746
True,True,lnc-itc,0.0,0,0,0,0
True,True,lnc-itc,0.0,0,0,0,0
True,True,lnc-itc,0.1,0.058823529411764705,0.07407407407407408,0.00804093567251462,0.4667871265263974
True,True,lnc-itc,0.4,0.0898876404494382,0.14678899082568808,0.28741161616161615,3.5669536764829775
True,True,lnc-itc,0.0,0,0,0,0
True,True,lnc-itc,0.55,0.7333333333333333,0.6285714285714286,0.5542907092907093,4.021253176031935
True,True,lnc-itc,0.0,0,0,0,0
True,True,lnc-itc,0.05,0.0196078431372549,0.02816901408450704,0.025,0.6309297535714575
True,True,lnc-itc,0.35,0.3888888888888889,0.36842105263157887,0.3017195767195767,3.3118527843509717
True,True,lnc-itc,0.05,0.022222222222222223,0.030769230769230767,0.004545454545454545,0.27894294565112987
True,True,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.1,0.043478260869565216,0.06060606060606061,0.0077777777777777776,0.46307916206359123
True,False,lnc-itc,0.05,0.038461538461538464,0.043478260869565216,0.05,1.0
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.05,0.125,0.07142857142857144,0.015625,0.31546487678572877
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.1,0.058823529411764705,0.07407407407407408,0.1,1.6309297535714575
True,False,lnc-itc,0.15,0.11538461538461539,0.13043478260869565,0.029444444444444447,0.9232917162651612
True,False,lnc-itc,0.05,0.007874015748031496,0.013605442176870748,0.00625,0.31546487678572877
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.2,0.04395604395604396,0.07207207207207209,0.047247474747474746,1.234093243409049
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.05,0.012195121951219513,0.019607843137254905,0.0125,0.43067655807339306
True,False,lnc-itc,0.05,0.038461538461538464,0.043478260869565216,0.0125,0.43067655807339306
True,False,lnc-itc,0.1,0.07692307692307693,0.08695652173913043,0.030263157894736843,0.8623079667312167
True,False,lnc-itc,0.15,0.2727272727272727,0.19354838709677416,0.05779220779220779,0.9478563892648278
True,False,lnc-itc,0.55,0.13580246913580246,0.21782178217821782,0.40862637362637366,4.406696683428503
True,False,lnc-itc,0.35,0.04861111111111111,0.08536585365853658,0.18956652996126683,2.9522544944126325
True,False,lnc-itc,0.1,0.08,0.08888888888888889,0.06666666666666667,1.3562071871080221
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.1,0.041666666666666664,0.058823529411764705,0.014583333333333332,0.6008577292262482
True,False,lnc-itc,0.25,0.09615384615384616,0.1388888888888889,0.10720551378446115,2.1241890452041163
True,False,lnc-itc,0.35,0.21212121212121213,0.26415094339622636,0.31341269841269837,3.5083530769113365
True,False,lnc-itc,0.3,0.10714285714285714,0.15789473684210525,0.11300420168067227,1.9585718701117916
True,False,lnc-itc,0.15,0.02608695652173913,0.04444444444444444,0.031442577030812324,0.929352987009487
True,False,lnc-itc,0.15,0.05,0.075,0.019106858054226475,0.760321158810889
True,False,lnc-itc,0.1,0.041666666666666664,0.058823529411764705,0.030555555555555558,0.8663386669380958
True,False,lnc-itc,0.35,0.05223880597014925,0.09090909090909091,0.1472832722832723,2.2055377351628005
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.05,0.008547008547008548,0.014598540145985403,0.01,0.38685280723454163
True,False,lnc-itc,0.15,0.15,0.15,0.07582417582417582,1.5959828683705268
True,False,lnc-itc,0.25,0.13157894736842105,0.1724137931034483,0.1108974358974359,1.8649981570043377
True,False,lnc-itc,0.3,0.13953488372093023,0.1904761904761905,0.06601540616246498,1.514894773180699
True,False,lnc-itc,0.0,0,0,0,0
True,False,lnc-itc,0.1,0.05,0.06666666666666667,0.026666666666666665,0.7890648263178879
True,False,lnc-itc,0.0,0,0,0,0
True,False,lnc-itc,0.1,0.1111111111111111,0.10526315789473685,0.010239651416122006,0.4898124665681315
True,False,lnc-itc,0.0,0,0,0,0
True,False,lnc-itc,0.2,0.36363636363636365,0.25806451612903225,0.15757575757575756,1.644227902341341
True,False,lnc-itc,0.05,0.02,0.02857142857142857,0.003333333333333333,0.25
True,False,lnc-itc,0.05,0.07692307692307693,0.060606060606060615,0.07692307692307693,1.0
True,False,lnc-itc,0.1,0.012903225806451613,0.022857142857142854,0.015263157894736843,0.6182310203943008
True,False,lnc-itc,0.15,0.03896103896103896,0.061855670103092786,0.034444444444444444,0.9463020090898913
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.0,0,0,0,0
True,False,lnc-itc,0.0,0,0,0,0
True,False,lnc-itc,0.05,0.029411764705882353,0.03703703703703704,0.004166666666666667,0.27023815442731974
True,False,lnc-itc,0.55,0.12359550561797752,0.2018348623853211,0.28780846346635813,3.7662403483168783
True,False,lnc-itc,0.0,0,0,0,0
True,False,lnc-itc,0.0,0.0,0,0,0
